carbon,silicon,sulfur,phosphorus,magnesium,manganese,nickel,copper,molybdenum,chromium,aluminium,tin,graphite_precipitation,spheroid_diameter,nodularity
3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0.0,0.0,0.0,100.0,,
3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.445,0.155,0.0,0.0,0.0,400.0,,
3.58,1.95,0.01,0.02,0.046,0.18,0.38,1.08,0.18,0.0,0.0,0.0,250.0,,100.0
3.4,2.77,0.01,0.01,0.04,0.45,1.43,1.17,0.18,0.0,0.0,0.0,137.0,,80.0
3.39,2.56,0.012,0.015,0.04,0.37,0.0,0.29,0.25,0.0,0.0,0.0,104.0,,70.3
3.52,2.64,0.013,0.007,0.04,0.67,0.0,0.25,0.25,0.0,0.0,0.0,102.0,,67.2
3.48,2.51,0.012,0.016,0.04,0.56,0.0,0.31,0.15,0.0,0.0,0.0,130.0,,71.9
3.5,2.32,0.015,0.018,0.04,0.59,0.0,0.29,0.33,0.0,0.0,0.0,230.0,,83.3
3.68,2.47,0.014,0.006,0.056,0.23,0.15,1.1,0.0,0.0,0.0,0.13,100.0,,
3.91,2.17,0.02,0.06,0.035,0.0,0.0,0.58,0.11,0.0,0.0,0.0,125.0,,90.0
3.56,2.63,0.01,0.025,0.047,0.15,0.45,0.44,0.0,0.0,0.0,0.0,150.0,,
3.62,2.48,0.009,0.025,0.045,0.16,0.43,0.45,0.0,0.0,0.0,0.0,110.0,,
3.58,2.57,0.007,0.048,0.043,0.34,0.45,0.46,0.19,0.0,0.0,0.0,200.0,,
3.56,2.35,0.007,0.025,0.047,0.23,0.48,0.51,0.0,0.0,0.0,0.0,73.0,,87.0
3.6,2.4,0.007,0.022,0.045,0.23,0.0,0.62,0.0,0.0,0.0,0.0,71.0,,85.0
3.6,2.26,0.004,0.025,0.043,0.24,0.46,0.48,0.0,0.0,0.0,0.0,60.0,,87.5
3.57,2.51,0.012,0.031,0.042,0.2,0.0,0.64,0.0,0.0,0.0,0.0,71.0,,82.5
3.51,2.3,0.008,0.02,0.04,0.23,0.0,0.62,0.0,0.0,0.0,0.0,88.0,,90.0
3.55,2.68,0.02,0.038,0.033,0.34,0.0,0.62,0.0,0.0,0.0,0.0,88.0,,92.5
3.72,2.6,0.0,0.0,0.0,0.16,0.0,0.54,0.2,0.0,0.0,0.0,215.0,23.0,
