,source_id,carbon,silicon,sulfur,phosphorus,magnesium,manganese,nickel,copper,molybdenum,chromium,aluminium,tin,perlite_perc,ferrite_perc,durability_liquid_state,tensile_liquid_state,austenitization_temp,austenitization_duration,hardening_temp,hardening_duration,Rm,R02,A5,HB,HRC,HRA,HV,impact_strength,impact_strength_temp,austenite_perc,martensite_perc,retained_austenite_perc
0,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.8,0.19999999999999996,459.48,22.188999999999982,927.0,120.0,400.0,120.0,585.0,480.0,,,,,,,21.0,28.7,,
1,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.8,0.19999999999999996,459.48,22.188999999999982,927.0,120.0,385.0,120.0,701.0,636.0,,,,,,,21.0,37.5,,
2,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.8,0.19999999999999996,459.48,22.188999999999982,927.0,120.0,371.0,120.0,1062.0,861.0,10.5,,,,,,21.0,32.0,,
3,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.8,0.19999999999999996,459.48,22.188999999999982,927.0,120.0,357.0,120.0,1105.0,946.0,9.6,,,,,,21.0,28.5,,
4,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.8,0.19999999999999996,459.48,22.188999999999982,927.0,120.0,343.0,120.0,1185.0,989.0,,,,,,,21.0,26.2,,
5,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.8,0.19999999999999996,459.48,22.188999999999982,927.0,120.0,330.0,120.0,1277.0,1081.0,,,,,,,21.0,17.5,,
6,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.8,0.19999999999999996,459.48,22.188999999999982,927.0,120.0,323.0,120.0,,,4.0,,,,,,21.0,,,
7,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.8,0.19999999999999996,459.48,22.188999999999982,927.0,120.0,316.0,120.0,1326.0,1154.0,,,,,,,21.0,14.5,,
8,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.8,0.19999999999999996,459.48,22.188999999999982,927.0,120.0,301.0,120.0,,,3.4,,,,,,21.0,14.5,,
9,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.8,0.19999999999999996,459.48,22.188999999999982,927.0,120.0,288.0,120.0,1470.0,1302.0,3.1,,,,,,21.0,14.0,,
10,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.8,0.19999999999999996,459.48,22.188999999999982,927.0,120.0,273.0,120.0,1522.0,1373.0,,,,,,,21.0,12.0,,
11,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.8,0.19999999999999996,459.48,22.188999999999982,927.0,120.0,260.0,120.0,1528.0,1410.0,1.9,,,,,,21.0,12.0,,
12,2,3.5,2.6,0.005,0.004,0.03,0.25,0.0,0.96,0.21,0.0,0.0,0.0,1.0,0.0,649.0,4.0,900.0,180.0,355.0,240.0,1039.0,,14.5,,,,,,21.0,,,
